"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","OBD Header"
"Pump motor voltage","Pumpmotorvol","2100","N*0.0784313725490196","0.0","20.0","volt","261"
"Steering angle offset","Steeringangl","2100","O*0.5-64.0","-64.0","63.5","degreeAngle","261"
"Brake booster pressure sensor","Brakebooster","2100","Q*0.5","0.0","127.5","kpa","261"
"Master cylinder pressure","Mastercylind","2100","R*0.1-2.0","-2.0","23.5","mpa","261"
"G sensor (lateral)","Gsensorlater","2100","S*0.02-2.56","-2.56","2.54","G","261"
"Yaw rate sensor","Yawratesenso","2100","INT16(T:U)*0.05-1638.4","-1638.4","1638.35","degreeS","261"
"Pump motor voltage (abs)","Pumpmotorvol","2100","N*0.0803921568627451","0.0","20.5","volt","261"
"Master cylinder pressure (abs)","Mastercylind","2100","R*0.1-2.0","-2.0","23.5","mpa","261"
"G sensor (lateral) (abs)","Gsensorlater","2100","S*0.02-2.56","-2.56","2.54","G","261"
"Yaw rate sensor (abs)","Yawratesenso","2100","INT16(T:U)*0.05-1638.4","-1638.4","1638.35","degreeS","261"
"Steering angle","Steeringangl","2100","SIGNED16(INT16(Y:Z))","-32768.0","32767.0","degreeAngle","261"
"Steering angle sensor","Steeringangl","2102","SIGNED16(INT16(A:B))*0.04379406109805597","-1435.0438","1435.0","degreeAngle","784"
"Yaw sensor","Yawsensor","2102","SIGNED(C)*0.5898425196850393","-75.4998","74.91","degreeS","784"
"Pressure sensor","Pressuresens","2102","SIGNED16(INT16(D:E))*0.999755851924192","-32759.9998","32759.0","kpa","784"
"Lateral acceleration","Lateralaccel","2102","SIGNED16(INT16(F:G))*9.99755851924192","-327599.9976","327590.0","G","784"
"Longitudinal sensor","Longitudinal","2102","SIGNED(H)*0.010236220472440945","-1.3102","1.3","G","784"
"Engine torque","Enginetorque","2103","SIGNED16(INT16(C:D))*0.07379375591296121","-2418.0738","2418.0","","784"
"Valve feed","Valvefeed","2114","C*0.1+5.0","5.0","30.5","volt","784"
"Battery voltage (controller)","Batteryvolta","2108","A*0.0784313725490196","0.0","20.0","volt","79B"
"Battery voltage (camera)","Batteryvolta","2108","B*0.0784313725490196","0.0","20.0","volt","79B"
"Steering wheel angle","Steeringwhee","2108","SIGNED16(INT16(F:G))","-32768.0","32767.0","degreeAngle","79B"
"Leveling actuator","Levelingactu","2108","C*0.39199999999999996","0.0","99.96","percent","276"
"Rear height sensor","Rearheightse","2108","L*19.6","0.0","4998.0","mVolt","276"
"Leveling actuator (alc)","Levelingactu","2108","C*0.39199999999999996","0.0","99.96","percent","276"
"Rear height sensor (alc)","Rearheightse","2108","L*19.6","0.0","4998.0","mVolt","276"
"Pressure control solenoid","Pressurecont","2100","J*0.5","0.0","127.5","percent","7E1"
"Input shaft","Inputshaft","2100","INT16(A:B)*0.25","0.0","16383.75","rpm","7E1"
"Output shaft","Outputshaft","2100","INT16(C:D)*0.25","0.0","16383.75","rpm","7E1"
"Tc Lock Duty","TcLockDuty","2100","K*0.5","0.0","127.5","percent","7E1"
"Unknown (04)","Unknown04","2101","INT16(E:F)*0.25","0.0","16383.75","rpm","7E1"
"Secondary pressure","Secondarypre","2101","J*0.025490196078431372-0.1","-0.1","6.4","mpa","7E1"
"Unknown (0B)","Unknown0B","2101","L*0.039999999999999994-5.12","-5.12","5.08","","7E1"
"Unknown (0F)","Unknown0F","2101","P*0.5","0.0","127.5","percent","7E1"
"Unknown (10)","Unknown10","2101","Q*0.5","0.0","127.5","percent","7E1"
"Unknown (11)","Unknown11","2101","R*0.5","0.0","127.5","percent","7E1"
"Unknown (12)","Unknown12","2101","S*0.5","0.0","127.5","percent","7E1"
"Input shaft (at)","Inputshaft","2101","INT16(A:B)*0.25","0.0","16383.75","rpm","7E1"
"Output shaft (at)","Outputshaft","2101","INT16(C:D)*0.25","0.0","16383.75","rpm","7E1"
"Voltage","Voltage","2101","INT16(G:H)*0.001","0.0","65.535","volt","7E1"
"At Temp","AtTemp","2101","I-40.0","-40.0","215.0","celsius","7E1"
